epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.505,0.93322,5.22918,1.37919,0.13121,0.09473,0.01751,0.01365,0.76568,3.63081,1.28645,0.07008,0.00332444,0.00332444
2,545.099,0.90018,3.98516,1.30682,0.22966,0.16291,0.04631,0.03434,0.77218,3.3614,1.29039,0.0400141,0.00659187,0.00659187
3,852.732,0.97975,3.5639,1.33067,0.28632,0.16637,0.05587,0.03875,0.98002,3.62989,1.48778,0.00988218,0.00979329,0.00979329
4,1162.55,1.07604,3.38162,1.38776,0.30119,0.21257,0.10208,0.06812,1.06962,2.96761,1.54831,0.009703,0.009703,0.009703
5,1472.43,1.05179,3.10028,1.35624,0.2603,0.28876,0.13983,0.10288,0.87771,2.75119,1.36473,0.009604,0.009604,0.009604
6,1800.04,1.006,2.86501,1.3234,0.26733,0.31781,0.17478,0.13179,0.84624,2.62254,1.32521,0.009505,0.009505,0.009505
7,2121.93,0.99496,2.71097,1.30658,0.31862,0.41853,0.28532,0.2241,0.75178,2.169,1.24071,0.009406,0.009406,0.009406
8,2438.85,0.95606,2.55577,1.28465,0.31228,0.42394,0.31782,0.24763,0.7564,2.08136,1.24456,0.009307,0.009307,0.009307
9,2750.2,0.93499,2.48101,1.26942,0.36857,0.44666,0.35524,0.28149,0.73719,2.01738,1.22169,0.009208,0.009208,0.009208
10,3064.43,0.92822,2.38834,1.27271,0.3683,0.45819,0.37043,0.29314,0.71642,1.95192,1.20378,0.009109,0.009109,0.009109
11,3370.32,0.89957,2.27512,1.2482,0.45676,0.46486,0.4401,0.34911,0.71404,1.79738,1.19996,0.00901,0.00901,0.00901
12,3686.26,0.88278,2.19499,1.23953,0.38724,0.50497,0.43751,0.3536,0.67229,1.81975,1.16137,0.008911,0.008911,0.008911
13,4006.69,0.87171,2.14162,1.22821,0.45199,0.49234,0.4752,0.38335,0.68556,1.70595,1.17289,0.008812,0.008812,0.008812
